dataset,track,model,proteins,stratification,stratum,residues,positive_labels,negative_labels,prevalence,mean_score,calibration_bias,brier_score,mean_absolute_error,log_loss,error_rate_at_0_5,f1_at_0_5_full_precision,mcc_at_0_5_full_precision,tp,tn,fp,fn,roc_auc_full_precision,aucpr_trapezoid_full_precision,aps_full_precision,fmax_full_precision
CAID2,disorder_pdb,PUNCH2-Light Released-13,119,known_label_disorder_fraction,"(0.60,1.00]",27817,25294,2523,0.9093000683035554,0.6969672700593487,-0.2123327982442067,0.129298008216968,0.24620030265891,0.48075146746568537,0.1425387353057483,0.9164401171735053,0.4961507924828203,21743,2109,414,3551,0.9114281605199588,0.988920415770239,0.988920808465217,0.9546809206098944
CAID2,disorder_pdb,A10-locked,94,known_label_disorder_fraction,"(0.10,0.30]",35118,6029,29089,0.1716783415912068,0.19885348037108946,0.027175138779882674,0.07783207476570436,0.133223092311106,0.2848846361999396,0.09747138219716385,0.7102344874291036,0.6518774679743914,4195,27500,1589,1834,0.8922945715621429,0.781823472356579,0.7818357589784575,0.7197698462644969
CAID2,disorder_pdb,LoRA-DR-Suite 650M,94,known_label_disorder_fraction,"(0.10,0.30]",35118,6029,29089,0.1716783415912068,0.21160633555325017,0.039927993962043384,0.09548030950440521,0.17801564739221368,0.31699771770248375,0.12457998747081268,0.6438746438746438,0.5685536387812974,3955,26788,2301,2074,0.8804333405647783,0.6512580447581033,0.6511509776879579,0.6444157103604332
CAID2,disorder_pdb,PUNCH2-Light Paper-8,94,known_label_disorder_fraction,"(0.10,0.30]",35118,6029,29089,0.1716783415912068,0.1349903589335583,-0.0366879826576485,0.07418134534111556,0.1309511218999402,0.2584643669037265,0.09265903525257703,0.6757026111221845,0.6419847369248372,3390,28474,615,2639,0.9171193608834187,0.7782786393369786,0.7782976992259975,0.7010878950094975
CAID2,disorder_pdb,PUNCH2-Light Released-13,94,known_label_disorder_fraction,"(0.10,0.30]",35118,6029,29089,0.1716783415912068,0.14491721717339828,-0.026761124417808507,0.0705909703160792,0.12632681771867418,0.24769250144663724,0.08949826299903184,0.6950024260067927,0.6573934231215596,3581,28394,695,2448,0.919792479062646,0.7879225240712022,0.7879403915520263,0.7152908872490132
CAID2,disorder_pdb,A10-locked,98,known_label_disorder_fraction,0-0.10,60262,2616,57646,0.043410441073976964,0.09782138039837923,0.05441093932440227,0.04494859871333414,0.0934813683609301,0.1739345046665418,0.05356609471972387,0.4687294272547729,0.4458835200160502,1424,55610,2036,1192,0.8650245411968716,0.44868637758395435,0.44905121829829575,0.4873546243308104
CAID2,disorder_pdb,LoRA-DR-Suite 650M,98,known_label_disorder_fraction,0-0.10,60262,2616,57646,0.043410441073976964,0.12009248887223774,0.07668204779826077,0.04929906307493329,0.11953384873650277,0.17895589885954463,0.0643855165776111,0.41158629056718227,0.3884023150425126,1357,55025,2621,1259,0.8841868913407054,0.345704643527038,0.3457983432311194,0.41629987221354536
CAID2,disorder_pdb,PUNCH2-Light Paper-8,98,known_label_disorder_fraction,0-0.10,60262,2616,57646,0.043410441073976964,0.06559932140731306,0.022188880333336096,0.0317812764271572,0.07139017946639839,0.12054226613466949,0.041054063920878826,0.4915741882449651,0.47176027681762833,1196,56592,1054,1420,0.9019017865924479,0.49300943848343676,0.4931170304561601,0.4929606202815752
CAID2,disorder_pdb,PUNCH2-Light Released-13,98,known_label_disorder_fraction,0-0.10,60262,2616,57646,0.043410441073976964,0.07121254720015434,0.027802106126177374,0.03286725607201297,0.07338100266499453,0.12279304970832573,0.042414788755766486,0.5025301673803036,0.48047391302804343,1291,56415,1231,1325,0.9052109118811312,0.5082692859068323,0.5083723141323699,0.5059002664636467
CAID2,disorder_pdb,A10-locked,37,known_label_disorder_fraction,"(0.30,0.60]",7680,3133,4547,0.40794270833333335,0.5064530566734232,0.09851034834008987,0.12309911559606199,0.1953780661115742,0.42219581167018116,0.16302083333333334,0.8164761067135736,0.6788393839834257,2785,3643,904,348,0.9366788735813227,0.9136443971458865,0.9136607290189831,0.8341501976284584
